slide_id,source,metric,model_version,n_fovs_on_slide,baseline_mean,baseline_std,baseline_median,baseline_mad,flags,no_data_reason
RUB-62501429,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,150.994,593.215,81.5,39.2889,mean_median_divergence,
RUB-62501430,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,271.611,91.493,263.0,97.8516,,
RUB-62501433,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,126.821,536.625,65.0,35.5824,mean_median_divergence,
RUB-62501464,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,117.148,40.734,112.0,41.5128,,
RUB-62501466,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,196.451,83.461,179.0,75.6126,,
RUB-62501467,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,305.488,222.195,227.0,155.673,mean_median_divergence,
RUB-62501471,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,187.386,149.993,154.5,144.5535,,
RUB-62501472,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,146.892,108.838,137.0,48.9258,,
RUB-62501474,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,285.904,155.565,250.0,115.6428,,
RUB-62501478,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,163.762,104.543,141.0,105.2646,,
RUB-62501479,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,89.333,38.048,84.5,33.3585,,
